date,resort_name,region,country,pass,snowfall
2020-12-31,Snowbasin,Utah,United_States,EPIC,0
2020-12-31,Snowbird,Utah,United_States,IKON,0
2020-12-31,Snowshoe Mountain,West_Virginia,United_States,IKON,0
2020-12-31,Solitude Mountain Resort,Utah,United_States,IKON,0
2020-12-31,Squaw Valley Alpine Meadows,California,United_States,IKON,4
2020-12-31,Steamboat,Colorado,United_States,IKON,0
2020-12-31,Stevens Pass Resort,Washington,United_States,EPIC,14
2020-12-31,Stoneham,Quebec,Canada,EPIC,6
2020-12-31,Stowe Mountain,Vermont,United_States,EPIC,0
2020-12-31,Stratton Mountain,Vermont,United_States,IKON,0
2020-12-31,Sugarbush,Vermont,United_States,IKON,0
2020-12-31,Sugarloaf,Maine,United_States,IKON,1
2020-12-31,Sun Valley,Idaho,United_States,EPIC,2
2020-12-31,Sunday River,Maine,United_States,IKON,0
2020-12-31,Sunshine Village,Alberta,Canada,IKON,0
2020-12-31,Taos Ski Valley,New_Mexico,United_States,IKON,0
2020-12-31,Telluride,Colorado,United_States,EPIC,0
2020-12-31,The Summit at Snoqualmie,Washington,United_States,IKON,16
2020-12-31,Thredbo Alpine Resort,Australia,Australia,IKON,0
2020-12-31,Thyon 2000,Valais,Switzerland,EPIC,0
2020-12-31,Tremblant,Quebec,Canada,IKON,0
2020-12-31,Vail,Colorado,United_States,EPIC,0
2020-12-31,Val Thorens,Northern_Alps,France,EPIC,0
2020-12-31,Verbier,Valais,Switzerland,EPIC,0
